HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2002-01-01,Nifty Bank,Nifty Bank,,,,870.25
2002-01-02,Nifty Bank,Nifty Bank,,,,878.02
2002-01-03,Nifty Bank,Nifty Bank,,,,903.03
2002-01-04,Nifty Bank,Nifty Bank,,,,903.90
2002-01-07,Nifty Bank,Nifty Bank,,,,886.59
2002-01-08,Nifty Bank,Nifty Bank,,,,877.93
2002-01-09,Nifty Bank,Nifty Bank,,,,900.17
2002-01-10,Nifty Bank,Nifty Bank,,,,898.38
2002-01-11,Nifty Bank,Nifty Bank,,,,892.85
2002-01-14,Nifty Bank,Nifty Bank,,,,936.27
2002-01-15,Nifty Bank,Nifty Bank,,,,931.90
2002-01-16,Nifty Bank,Nifty Bank,,,,938.10
2002-01-17,Nifty Bank,Nifty Bank,,,,939.65
2002-01-18,Nifty Bank,Nifty Bank,,,,948.48
2002-01-21,Nifty Bank,Nifty Bank,,,,938.47
2002-01-22,Nifty Bank,Nifty Bank,,,,945.75
2002-01-23,Nifty Bank,Nifty Bank,,,,937.39
2002-01-24,Nifty Bank,Nifty Bank,,,,920.09
2002-01-25,Nifty Bank,Nifty Bank,,,,920.64
2002-01-28,Nifty Bank,Nifty Bank,,,,939.24
2002-01-29,Nifty Bank,Nifty Bank,,,,922.23
2002-01-30,Nifty Bank,Nifty Bank,,,,926.80
2002-01-31,Nifty Bank,Nifty Bank,,,,917.79
2002-02-01,Nifty Bank,Nifty Bank,,,,923.38
2002-02-04,Nifty Bank,Nifty Bank,,,,946.63
2002-02-05,Nifty Bank,Nifty Bank,,,,941.37
2002-02-06,Nifty Bank,Nifty Bank,,,,1010.00
2002-02-07,Nifty Bank,Nifty Bank,,,,1024.30
2002-02-08,Nifty Bank,Nifty Bank,,,,1040.00
2002-02-11,Nifty Bank,Nifty Bank,,,,1044.50
2002-02-12,Nifty Bank,Nifty Bank,,,,1038.70
