HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2016-04-01,Nifty Bank,Nifty Bank,16099.65,16235.8,16020.6,16174.00
2016-04-04,Nifty Bank,Nifty Bank,16236.9,16278.5,16046.5,16190.00
2016-04-05,Nifty Bank,Nifty Bank,16127.45,16147.15,15659.75,15695.00
2016-04-06,Nifty Bank,Nifty Bank,15750.15,15768.55,15578.55,15636.00
2016-04-07,Nifty Bank,Nifty Bank,15668.95,15726.6,15458.05,15530.00
2016-04-08,Nifty Bank,Nifty Bank,15519.3,15642.7,15483.05,15568.00
2016-04-11,Nifty Bank,Nifty Bank,15623.35,15853.85,15440.25,15818.00
2016-04-12,Nifty Bank,Nifty Bank,15809.1,15958.8,15794.15,15880.00
2016-04-13,Nifty Bank,Nifty Bank,16087.95,16349.7,16080.55,16278.00
2016-04-18,Nifty Bank,Nifty Bank,16328.7,16330.55,16011.9,16222.00
2016-04-20,Nifty Bank,Nifty Bank,16299.5,16386.35,16160.55,16349.00
2016-04-21,Nifty Bank,Nifty Bank,16526.55,16769.55,16526.55,16637.00
2016-04-22,Nifty Bank,Nifty Bank,16641.05,16755.85,16549.1,16703.00
2016-04-25,Nifty Bank,Nifty Bank,16746.95,16767.9,16605,16678.00
2016-04-26,Nifty Bank,Nifty Bank,16647.75,17029.85,16572,17002.00
2016-04-27,Nifty Bank,Nifty Bank,16869.35,16995,16827.35,16872.00
2016-04-28,Nifty Bank,Nifty Bank,16885.8,17023.35,16692.7,16716.00
2016-04-29,Nifty Bank,Nifty Bank,16712.95,16841.3,16527.55,16795.00
2016-05-02,Nifty Bank,Nifty Bank,16614,16674.15,16519.55,16543.00
2016-05-03,Nifty Bank,Nifty Bank,16570.75,16719.4,16358.4,16388.00
2016-05-04,Nifty Bank,Nifty Bank,16320.1,16465.6,16250.5,16274.00
2016-05-05,Nifty Bank,Nifty Bank,16292.4,16398.25,16193.7,16281.00
2016-05-06,Nifty Bank,Nifty Bank,16264.45,16346.25,16186.25,16296.00
2016-05-09,Nifty Bank,Nifty Bank,16357,16712.9,16357,16686.00
2016-05-10,Nifty Bank,Nifty Bank,16710.05,16812.2,16613.9,16784.00
2016-05-11,Nifty Bank,Nifty Bank,16544.25,16861.95,16518.75,16754.00
2016-05-12,Nifty Bank,Nifty Bank,16881.25,16962,16779.5,16923.00
2016-05-13,Nifty Bank,Nifty Bank,16891.7,16891.7,16594.55,16716.00
2016-05-16,Nifty Bank,Nifty Bank,16744.15,16780.05,16431.65,16737.00
2016-05-17,Nifty Bank,Nifty Bank,16818.4,16903.35,16738.7,16762.00
2016-05-18,Nifty Bank,Nifty Bank,16671.7,16759.05,16556.6,16728.00
2016-05-19,Nifty Bank,Nifty Bank,16725.45,16726.15,16535.75,16565.00
2016-05-20,Nifty Bank,Nifty Bank,16600.8,16623.2,16455.4,16481.00
2016-05-23,Nifty Bank,Nifty Bank,16560.15,16604.15,16368,16407.00
2016-05-24,Nifty Bank,Nifty Bank,16422.35,16501.05,16368.6,16456.00
2016-05-25,Nifty Bank,Nifty Bank,16600.65,17025.85,16599.05,16997.00
2016-05-26,Nifty Bank,Nifty Bank,17037.6,17424.05,16971.35,17359.00
2016-05-27,Nifty Bank,Nifty Bank,17348.35,17543.3,17327.65,17511.00
2016-05-30,Nifty Bank,Nifty Bank,17580.85,17666.05,17484.8,17520.00
2016-05-31,Nifty Bank,Nifty Bank,17615.1,17648.25,17462.2,17620.00
2016-06-01,Nifty Bank,Nifty Bank,17670.85,17670.85,17392.85,17423.00
2016-06-02,Nifty Bank,Nifty Bank,17405.15,17596.4,17350.45,17567.00
2016-06-03,Nifty Bank,Nifty Bank,17657.2,17762.05,17649.05,17680.00
2016-06-06,Nifty Bank,Nifty Bank,17710.45,17754.15,17636.9,17671.00
2016-06-07,Nifty Bank,Nifty Bank,17796.55,18000.95,17713.35,17948.00
2016-06-08,Nifty Bank,Nifty Bank,17976.25,17995.8,17855.2,17946.00
2016-06-09,Nifty Bank,Nifty Bank,17955.8,17986.15,17801.55,17887.00
2016-06-10,Nifty Bank,Nifty Bank,17830.2,18051.5,17815.25,17828.00
2016-06-13,Nifty Bank,Nifty Bank,17620.55,17666.55,17527.55,17593.00
2016-06-14,Nifty Bank,Nifty Bank,17698.95,17719.85,17575.95,17672.00
